Time, x, y, angle, throttle, steer, brake, gear 
0.0,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.075,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.125,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.203,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.256,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.328,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.4,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.45,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.499,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.572,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.649,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.723,-25.0,139.0,-0.0,0.0,0.0,0.0,1
0.778,-25.0,139.0,-0.0,0.0,0.0,0.0,1
0.827,-25.0,139.0,-0.0,0.0,0.0,0.0,1
0.9,-25.0,139.0,-0.0,0.0,0.0,0.0,1
0.976,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.025,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.106,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.156,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.228,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.299,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.346,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.393,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.491,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.54,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.612,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.659,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.732,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.805,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.853,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.928,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.976,-25.0,139.0,-0.0,0.0,0.1,0.0,1
2.048,-25.0,139.0,-0.0,0.0,0.1,0.0,1
2.098,-25.0,139.0,-0.0,0.0,0.1,0.0,1
2.171,-25.0,139.0,-0.0,0.0,0.2,0.0,1
2.243,-25.0,139.0,-0.0,0.0,0.2,0.0,1
2.314,-25.0,139.0,-0.0,0.01,0.2,0.0,1
2.386,-25.0,139.0,-0.0,0.04,0.3,0.0,1
2.433,-25.0,139.0,-0.0,0.08,0.3,0.0,1
2.507,-25.0,139.0,-0.0,0.13,0.3,0.0,1
2.578,-25.0,139.0,-0.0,0.16,0.4,0.0,1
2.626,-25.0,139.0,-0.0,0.2,0.4,0.0,1
2.676,-25.0,139.0,-0.0,0.25,0.4,0.0,1
2.748,-25.0,139.0,-0.0,0.28,0.4,0.0,1
2.822,-25.0,139.0,-0.0,0.33,0.5,0.0,1
2.895,-25.0,139.0,-0.0,0.0,0.5,0.0,1
2.943,-25.0,139.0,-0.0,0.0,0.5,0.0,1
3.015,-25.0,139.0,-0.0,0.0,0.6,0.0,1
3.088,-25.0,139.0,-0.0,0.0,0.6,0.0,1
3.135,-25.0,139.0,-0.0,0.0,0.6,0.0,1
3.21,-25.0,139.0,-0.0,0.0,0.7,0.0,1
3.259,-25.0,139.0,-0.0,0.0,0.7,0.0,1
3.334,-25.0,139.0,-0.0,0.0,0.7,0.0,1
3.405,-25.0,139.0,-0.0,0.0,0.7,0.0,1
3.452,-25.0,139.0,-0.0,0.03,0.7,0.0,1
3.525,-25.0,139.0,-0.0,0.08,0.7,0.0,1
3.574,-25.0,139.0,-0.0,0.12,0.7,0.0,1
3.649,-25.0,139.0,-0.0,0.15,0.7,0.0,1
3.698,-25.0,139.0,-0.0,0.2,0.7,0.0,1
3.793,-25.0,139.0,-0.0,0.23,0.7,0.0,1
3.842,-25.0,139.0,-0.0,0.28,0.7,0.0,1
3.915,-25.0,139.0,-0.0,0.32,0.7,0.0,1
3.988,-25.0,139.0,-0.0,0.35,0.7,0.0,1
4.035,-25.0,139.0,-0.0,0.4,0.7,0.0,1
4.107,-25.0,139.0,-0.0,0.44,0.7,0.0,1
4.176,-25.0,139.0,-0.0,0.48,0.7,0.0,1
4.225,-25.0,139.0,-0.0,0.0,0.7,0.0,1
4.298,-25.0,139.0,-0.0,0.0,0.7,0.0,1
4.347,-25.0,139.0,-0.0,0.0,0.7,0.0,1
4.418,-25.0,139.0,-0.0,0.0,0.7,0.0,1
4.49,-25.0,139.0,-0.0,0.0,0.7,0.0,1
4.561,-25.0,139.0,-0.0,0.0,0.7,0.0,1
4.61,-25.0,139.0,-0.0,0.01,0.7,0.0,1
4.683,-25.0,139.0,-0.0,0.06,0.7,0.0,1
4.754,-25.0,139.0,-0.0,0.09,0.7,0.0,1
4.802,-25.0,139.0,-0.0,0.13,0.7,0.0,1
4.875,-25.0,139.0,-0.0,0.18,0.7,0.0,1
4.923,-25.0,139.0,-0.0,0.21,0.7,0.0,1
4.994,-25.0,139.0,-0.0,0.26,0.7,0.0,1
5.042,-25.0,139.0,-0.0,0.3,0.7,0.0,1
5.115,-25.0,139.0,-0.0,0.33,0.7,0.0,1
5.191,-25.0,139.0,-0.0,0.38,0.7,0.0,1
5.241,-25.0,139.0,-0.0,0.42,0.7,0.0,1
5.313,-25.0,139.0,-0.0,0.45,0.7,0.0,1
5.387,-24.99,139.0,0.21,0.5,0.7,0.0,1
5.458,-24.94,139.02,1.08,0.53,0.7,0.0,1
5.505,-24.9,139.04,1.85,0.57,0.7,0.0,1
5.577,-24.82,139.07,3.18,0.62,0.7,0.0,1
5.65,-24.74,139.11,4.67,0.65,0.7,0.0,1
5.698,-24.67,139.14,5.75,0.0,0.7,0.0,1
5.77,-24.58,139.19,7.48,0.0,0.7,0.0,1
5.817,-24.51,139.23,8.67,0.0,0.7,0.0,1
5.889,-24.41,139.28,10.08,0.0,0.0,0.0,1
5.962,-24.3,139.31,10.56,0.0,0.0,0.0,1
6.011,-24.19,139.33,10.57,0.0,0.0,0.0,1
6.083,-24.13,139.34,10.57,0.0,0.0,0.0,1
6.156,-24.03,139.36,10.6,0.0,0.1,0.0,1
6.204,-23.97,139.38,10.72,0.0,0.1,0.0,1
6.277,-23.88,139.4,10.93,0.0,0.1,0.0,1
6.347,-23.81,139.42,11.13,0.0,0.2,0.0,1
6.394,-23.73,139.44,11.46,0.0,0.2,0.0,1
6.466,-23.69,139.45,11.69,0.0,0.2,0.0,1
6.539,-23.62,139.47,12.01,0.0,0.2,0.0,1
6.61,-23.56,139.5,12.4,0.0,0.3,0.0,1
6.658,-23.52,139.51,12.68,0.0,0.3,0.0,1
6.727,-23.47,139.53,13.06,0.0,0.3,0.0,1
6.798,-23.42,139.55,13.51,0.0,0.4,0.0,1
6.845,-23.39,139.57,13.74,0.01,0.0,0.0,1
6.918,-23.35,139.58,13.83,0.06,0.0,0.0,1
6.988,-23.31,139.59,13.84,0.1,0.0,0.0,1
7.06,-23.27,139.6,13.83,0.13,0.0,0.0,1
7.108,-23.25,139.6,13.82,0.18,0.0,0.0,1
7.181,-23.22,139.61,13.82,0.22,0.0,0.0,1
7.231,-23.2,139.62,13.82,0.25,0.0,0.0,1
7.306,-23.17,139.62,13.82,0.3,0.0,0.0,1
7.377,-23.14,139.63,13.82,0.34,0.0,0.0,1
7.424,-23.11,139.64,13.82,0.37,0.0,0.0,1
7.493,-23.08,139.64,13.83,0.0,0.0,0.0,1
7.542,-23.04,139.66,13.82,0.0,0.0,0.0,1
7.615,-23.0,139.66,13.82,0.0,0.0,0.0,1
7.688,-22.95,139.68,13.82,0.0,0.0,0.0,1
7.734,-22.9,139.69,13.82,0.03,0.0,0.0,1
7.806,-22.87,139.7,13.82,0.06,0.0,0.0,1
7.878,-22.83,139.71,13.82,0.11,0.0,0.0,1
7.95,-22.8,139.71,13.83,0.15,0.0,0.0,1
7.997,-22.77,139.72,13.83,0.18,0.0,0.0,1
8.067,-22.74,139.73,13.83,0.22,0.0,0.0,1
8.139,-22.71,139.74,13.83,0.27,0.0,0.0,1
8.187,-22.68,139.74,13.81,0.3,0.0,0.0,1
8.259,-22.66,139.75,13.8,0.35,0.0,0.0,1
8.308,-22.62,139.76,13.8,0.39,0.0,0.0,1
8.382,-22.59,139.76,13.8,0.42,0.0,0.0,1
8.454,-22.55,139.78,13.79,0.47,0.0,0.0,1
8.502,-22.5,139.79,13.8,0.51,0.0,0.0,1
8.574,-22.46,139.8,13.8,0.54,0.0,0.0,1
8.647,-22.4,139.81,13.8,0.59,0.0,0.0,1
8.716,-22.33,139.83,13.81,0.63,0.0,0.0,1
8.763,-22.28,139.84,13.81,0.66,0.0,0.0,1
8.834,-22.19,139.86,13.81,0.0,0.0,0.0,1
8.907,-22.09,139.89,13.82,0.0,0.0,0.0,1
8.977,-21.99,139.91,13.82,0.0,0.0,0.0,1
9.026,-21.91,139.93,13.82,0.0,0.0,0.0,1
9.099,-21.81,139.96,13.82,0.0,0.0,0.0,1
9.148,-21.74,139.97,13.82,0.0,0.0,0.0,1
9.221,-21.64,140.0,13.82,0.0,0.0,0.0,1
9.268,-21.55,140.02,13.82,0.0,0.0,0.0,1
9.34,-21.49,140.03,13.82,0.0,0.0,0.0,1
9.411,-21.41,140.05,13.68,0.0,-0.1,0.0,1
9.46,-21.33,140.07,13.5,0.0,-0.1,0.0,1
9.554,-21.26,140.08,13.32,0.0,-0.1,0.0,1
