Time, x, y, angle, throttle, steer, brake, gear 
0.0,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.068,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.136,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.208,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.255,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.329,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.379,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.449,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.517,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.588,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.657,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.704,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.773,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.843,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.912,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.958,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.026,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.096,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.142,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.217,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.282,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.356,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.424,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.47,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.538,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.604,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.672,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.739,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.811,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.859,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.929,-25.0,139.0,0.0,0.0,0.1,0.0,1
1.997,-25.0,139.0,0.0,0.0,0.1,0.0,1
2.065,-25.0,139.0,0.0,0.0,0.1,0.0,1
2.11,-25.0,139.0,0.0,0.0,0.1,0.0,1
2.181,-25.0,139.0,0.0,0.0,0.2,0.0,1
2.227,-25.0,139.0,0.0,0.0,0.2,0.0,1
2.299,-25.0,139.0,0.0,0.0,0.2,0.0,1
2.371,-25.0,139.0,0.0,0.04,0.3,0.0,1
2.417,-25.0,139.0,0.0,0.08,0.3,0.0,1
2.513,-25.0,139.0,0.0,0.11,0.3,0.0,1
2.558,-25.0,139.0,0.0,0.15,0.4,0.0,1
2.605,-25.0,139.0,0.0,0.18,0.4,0.0,1
2.705,-25.0,139.0,0.0,0.23,0.4,0.0,1
2.751,-25.0,139.0,0.0,0.27,0.5,0.0,1
2.824,-25.0,139.0,0.0,0.32,0.5,0.0,1
2.895,-25.0,139.0,0.0,0.0,0.5,0.0,1
