Time, x, y, angle, throttle, steer, brake, gear 
0.0,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.068,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.14,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.186,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.261,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.332,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.378,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.446,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.512,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.582,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.65,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.719,-25.0,139.0,-0.0,0.0,0.0,0.0,1
0.776,-25.0,139.0,-0.0,0.0,0.0,0.0,1
0.82,-25.0,139.0,-0.0,0.0,0.0,0.0,1
0.911,-25.0,139.0,-0.0,0.0,0.0,0.0,1
0.956,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.032,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.101,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.147,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.215,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.282,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.351,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.416,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.484,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.551,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.619,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.665,-25.0,139.0,-0.0,0.0,0.0,0.0,1
1.732,-25.0,139.0,-0.0,0.0,0.1,0.0,1
1.803,-25.0,139.0,-0.0,0.0,0.1,0.0,1
1.849,-25.0,139.0,-0.0,0.0,0.1,0.0,1
1.919,-25.0,139.0,-0.0,0.0,0.1,0.0,1
1.987,-25.0,139.0,-0.0,0.0,0.2,0.0,1
2.055,-25.0,139.0,-0.0,0.0,0.2,0.0,1
2.124,-25.0,139.0,-0.0,0.0,0.2,0.0,1
2.19,-25.0,139.0,-0.0,0.04,0.3,0.0,1
2.238,-25.0,139.0,-0.0,0.07,0.3,0.0,1
2.305,-25.0,139.0,-0.0,0.11,0.3,0.0,1
2.375,-25.0,139.0,-0.0,0.16,0.4,0.0,1
2.444,-25.0,139.0,-0.0,0.2,0.4,0.0,1
2.491,-25.0,139.0,-0.0,0.23,0.4,0.0,1
2.559,-25.0,139.0,-0.0,0.27,0.5,0.0,1
2.629,-25.0,139.0,-0.0,0.32,0.5,0.0,1
2.698,-25.0,139.0,-0.0,0.36,0.5,0.0,1
2.767,-25.0,139.0,-0.0,0.4,0.6,0.0,1
2.814,-25.0,139.0,-0.0,0.43,0.6,0.0,1
