Time, x, y, angle, throttle, steer, brake, gear 
0.0,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.07,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.14,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.187,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.255,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.327,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.38,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.453,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.524,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.569,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.64,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.717,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.762,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.835,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.909,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.955,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.026,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.073,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.164,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.211,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.28,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.354,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.422,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.467,-25.0,139.0,0.0,0.0,0.1,0.0,1
1.536,-25.0,139.0,0.0,0.0,0.1,0.0,1
1.608,-25.0,139.0,0.0,0.0,0.1,0.0,1
1.677,-25.0,139.0,0.0,0.0,0.2,0.0,1
1.724,-25.0,139.0,0.0,0.0,0.2,0.0,1
1.792,-25.0,139.0,0.0,0.0,0.2,0.0,1
1.84,-25.0,139.0,0.0,0.04,0.3,0.0,1
1.936,-25.0,139.0,0.0,0.07,0.3,0.0,1
1.983,-25.0,139.0,0.0,0.11,0.3,0.0,1
2.054,-25.0,139.0,0.0,0.16,0.4,0.0,1
2.1,-25.0,139.0,0.0,0.2,0.4,0.0,1
2.171,-25.0,139.0,0.0,0.23,0.4,0.0,1
2.242,-25.0,139.0,0.0,0.27,0.4,0.0,1
2.313,-25.0,139.0,0.0,0.32,0.5,0.0,1
2.382,-25.0,139.0,0.0,0.36,0.5,0.0,1
2.428,-25.0,139.0,0.0,0.39,0.5,0.0,1
2.497,-25.0,139.0,0.0,0.43,0.6,0.0,1
2.544,-25.0,139.0,0.0,0.48,0.6,0.0,1
2.64,-25.0,139.0,0.0,0.52,0.6,0.0,1
2.689,-25.0,139.0,0.0,0.55,0.7,0.0,1
2.759,-25.0,139.0,0.0,0.6,0.7,0.0,1
2.805,-25.0,139.0,0.0,0.64,0.7,0.0,1
2.898,-25.0,139.0,0.0,0.67,0.7,0.0,1
2.945,-25.0,139.0,0.02,0.0,0.7,0.0,1
3.012,-24.97,139.01,0.59,0.0,0.7,0.0,1
3.057,-24.91,139.04,1.54,0.0,0.7,0.0,1
3.149,-24.85,139.06,2.62,0.0,0.7,0.0,1
3.196,-24.81,139.08,3.35,0.0,0.7,0.0,1
3.265,-24.75,139.11,4.4,0.0,0.7,0.0,1
3.336,-24.69,139.14,5.44,0.0,0.7,0.0,1
3.407,-24.64,139.16,6.42,0.0,0.7,0.0,1
3.455,-24.6,139.18,7.05,0.0,0.7,0.0,1
3.524,-24.56,139.21,7.92,0.0,0.7,0.0,1
3.594,-24.51,139.23,8.75,0.0,0.7,0.0,1
3.664,-24.47,139.26,9.45,0.0,0.0,0.0,1
3.711,-24.44,139.27,9.71,0.0,0.0,0.0,1
3.782,-24.4,139.28,9.84,0.04,0.0,0.0,1
3.849,-24.36,139.28,9.84,0.08,0.0,0.0,1
3.897,-24.34,139.29,9.84,0.11,0.0,0.0,1
3.965,-24.31,139.29,9.84,0.15,0.0,0.0,1
4.033,-24.28,139.3,9.83,0.2,0.0,0.0,1
4.103,-24.25,139.3,9.83,0.24,0.0,0.0,1
4.148,-24.22,139.31,9.82,0.28,0.0,0.0,1
4.217,-24.2,139.31,9.84,0.32,0.0,0.0,1
4.286,-24.18,139.32,9.84,0.35,0.0,0.0,1
4.355,-24.14,139.32,9.85,0.4,0.0,0.0,1
4.401,-24.11,139.33,9.85,0.44,0.0,0.0,1
4.494,-24.07,139.34,9.91,0.48,0.1,0.0,1
4.541,-24.04,139.34,9.98,0.51,0.1,0.0,1
4.611,-23.98,139.36,10.12,0.56,0.1,0.0,1
4.68,-23.92,139.37,10.38,0.6,0.2,0.0,1
4.75,-23.84,139.4,10.75,0.64,0.2,0.0,1
4.796,-23.79,139.41,11.03,0.67,0.2,0.0,1
4.865,-23.69,139.44,11.56,0.72,0.3,0.0,1
4.912,-23.59,139.48,12.18,0.76,0.0,0.0,1
4.981,-23.47,139.51,12.3,0.8,0.0,0.0,1
5.071,-23.34,139.54,12.31,0.84,0.0,0.0,1
5.118,-23.24,139.56,12.31,0.87,0.0,0.0,1
5.188,-23.07,139.59,12.32,0.92,0.0,0.0,1
5.257,-22.89,139.63,12.32,0.96,0.0,0.0,1
5.323,-22.69,139.68,12.32,1.0,0.0,0.0,1
5.391,-22.45,139.73,12.32,0.0,0.0,0.0,1
5.439,-22.27,139.77,12.32,0.0,0.0,0.0,1
5.507,-22.01,139.83,12.32,0.0,0.0,0.0,1
5.576,-21.75,139.88,12.32,0.0,0.0,0.0,1
5.621,-21.49,139.94,12.32,0.0,0.0,0.0,1
5.691,-21.33,139.97,12.32,0.0,0.0,0.0,1
5.762,-21.1,140.03,12.32,0.0,0.0,0.0,1
5.829,-20.88,140.07,12.29,0.0,-0.1,0.0,1
5.876,-20.67,140.11,11.9,0.0,-0.1,0.0,1
5.968,-20.48,140.14,11.47,0.0,-0.1,0.0,1
6.015,-20.36,140.16,11.18,0.0,-0.1,0.0,1
6.087,-20.17,140.18,10.52,0.0,-0.2,0.0,1
6.155,-20.01,140.19,9.79,0.0,-0.2,0.0,1
6.224,-19.85,140.2,9.09,0.0,-0.2,0.0,1
6.271,-19.75,140.21,8.84,0.0,0.0,0.0,1
6.339,-19.61,140.23,8.82,0.0,0.0,0.0,1
6.407,-19.48,140.25,8.81,0.0,0.0,0.0,1
6.476,-19.36,140.27,8.81,0.0,0.0,0.0,1
6.522,-19.24,140.29,8.81,0.0,0.0,0.0,1
6.591,-19.16,140.3,8.81,0.0,0.0,0.0,1
6.659,-19.06,140.32,8.8,0.0,-0.1,0.0,1
6.729,-18.96,140.33,8.59,0.0,-0.1,0.0,1
6.798,-18.86,140.34,8.36,0.0,-0.1,0.0,1
6.846,-18.8,140.34,8.2,0.0,-0.2,0.0,1
6.915,-18.71,140.35,7.82,0.0,-0.2,0.0,1
6.961,-18.63,140.35,7.45,0.0,-0.2,0.0,1
7.051,-18.56,140.35,7.1,0.0,-0.3,0.0,1
7.122,-18.48,140.35,6.62,0.0,-0.3,0.0,1
7.168,-18.44,140.35,6.32,0.0,-0.3,0.0,1
7.237,-18.38,140.35,5.87,0.0,-0.4,0.0,1
7.306,-18.32,140.34,5.35,0.02,0.0,0.0,1
7.375,-18.27,140.34,5.11,0.06,0.0,0.0,1
7.421,-18.23,140.34,5.09,0.09,0.0,0.0,1
7.489,-18.19,140.34,5.08,0.13,0.0,0.0,1
7.557,-18.15,140.35,5.08,0.18,0.0,0.0,1
7.625,-18.12,140.35,5.08,0.22,0.0,0.0,1
7.696,-18.08,140.35,5.08,0.25,0.0,0.0,1
7.742,-18.06,140.36,5.08,0.29,0.0,0.0,1
7.813,-18.02,140.36,5.08,0.34,0.0,0.0,1
7.882,-17.98,140.36,5.08,0.38,0.0,0.0,1
7.951,-17.94,140.37,5.08,0.0,0.0,0.0,1
7.997,-17.91,140.37,5.08,0.0,0.0,0.0,1
8.068,-17.85,140.38,5.08,0.0,0.0,0.0,1
8.113,-17.8,140.38,5.08,0.0,0.0,0.0,1
8.206,-17.75,140.38,5.08,0.0,0.0,0.0,1
8.275,-17.7,140.39,5.08,0.0,0.0,0.0,1
8.321,-17.67,140.39,5.08,0.0,0.0,0.0,1
8.391,-17.62,140.4,5.08,0.0,0.0,0.0,1
8.463,-17.58,140.4,5.08,0.03,0.0,0.0,1
8.532,-17.55,140.4,5.07,0.06,0.0,0.0,1
8.578,-17.53,140.4,5.07,0.1,0.0,0.0,1
8.624,-17.5,140.41,5.06,0.15,0.0,0.0,1
8.716,-17.47,140.41,5.06,0.19,0.0,0.0,1
8.784,-17.45,140.41,5.05,0.22,0.0,0.0,1
8.83,-17.43,140.41,5.05,0.26,0.0,0.0,1
8.877,-17.41,140.41,5.06,0.31,0.0,0.0,1
8.947,-17.39,140.42,5.06,0.35,0.0,0.0,1
9.039,-17.36,140.42,5.07,0.38,0.0,0.0,1
9.086,-17.34,140.42,5.07,0.42,0.0,0.0,1
9.156,-17.3,140.42,5.04,0.47,0.0,0.0,1
9.226,-17.25,140.43,5.01,0.51,0.0,0.0,1
9.296,-17.2,140.43,4.98,0.54,0.0,0.0,1
9.344,-17.16,140.44,4.98,0.58,0.0,0.0,1
9.415,-17.09,140.44,4.98,0.0,0.0,0.0,1
9.484,-17.01,140.45,4.98,0.0,0.0,0.0,1
9.552,-16.93,140.46,4.99,0.0,0.0,0.0,1
9.598,-16.87,140.46,4.92,0.0,-0.1,0.0,1
9.668,-16.79,140.46,4.73,0.0,-0.1,0.0,1
9.738,-16.72,140.46,4.56,0.0,-0.1,0.0,1
9.807,-16.65,140.47,4.33,0.0,-0.2,0.0,1
9.854,-16.6,140.46,4.12,0.0,-0.2,0.0,1
9.923,-16.54,140.46,3.83,0.0,-0.2,0.0,1
9.993,-16.48,140.46,3.5,0.0,-0.3,0.0,1
10.063,-16.42,140.46,3.21,0.0,0.0,0.0,1
10.11,-16.38,140.46,3.2,0.0,0.0,0.0,1
10.18,-16.33,140.46,3.2,0.0,0.0,0.0,1
10.25,-16.28,140.46,3.2,0.0,0.0,0.0,1
10.321,-16.24,140.47,3.2,0.0,0.0,0.0,1
10.368,-16.21,140.47,3.2,0.0,0.0,0.0,1
10.439,-16.17,140.47,3.2,0.0,0.0,0.0,1
10.508,-16.13,140.47,3.19,0.0,-0.1,0.0,1
10.556,-16.09,140.47,3.11,0.0,-0.1,0.0,1
10.627,-16.07,140.47,3.05,0.0,-0.1,0.0,1
10.697,-16.03,140.47,2.97,0.0,-0.2,0.0,1
10.766,-16.0,140.47,2.83,0.0,-0.2,0.0,1
10.813,-15.98,140.47,2.74,0.0,-0.2,0.0,1
10.882,-15.95,140.47,2.61,0.0,-0.2,0.0,1
10.954,-15.93,140.46,2.44,0.0,-0.3,0.0,1
11.021,-15.9,140.46,2.27,0.0,-0.3,0.0,1
11.092,-15.88,140.46,2.13,0.0,-0.3,0.0,1
11.138,-15.87,140.46,2.1,0.0,0.0,0.0,1
11.185,-15.85,140.46,2.1,0.0,0.0,0.0,1
11.277,-15.83,140.46,2.1,0.0,0.0,0.0,1
11.323,-15.82,140.46,2.1,0.0,0.0,0.6,1
11.396,-15.82,140.46,2.1,0.0,0.0,1.0,1
11.465,-15.82,140.46,2.1,0.0,0.0,1.0,1
11.534,-15.82,140.46,2.1,0.0,0.0,0.0,1
11.581,-15.82,140.46,2.1,0.0,0.0,0.0,1
11.65,-15.82,140.46,2.1,0.0,0.0,0.0,1
11.72,-15.82,140.46,2.1,0.0,0.0,0.0,1
11.79,-15.82,140.46,2.1,0.0,0.0,0.0,1
11.837,-15.82,140.46,2.1,0.0,0.0,0.0,1
11.905,-15.82,140.46,2.1,0.0,0.0,0.0,1
11.952,-15.82,140.46,2.1,0.0,0.0,0.0,1
12.045,-15.82,140.46,2.1,0.0,0.0,0.0,1
12.09,-15.82,140.46,2.1,0.0,0.0,0.0,1
12.16,-15.82,140.46,2.1,0.0,0.0,0.0,-1
12.232,-15.82,140.46,2.1,0.0,0.0,0.0,-1
12.302,-15.82,140.46,2.1,0.0,0.0,0.0,-1
12.349,-15.82,140.46,2.1,0.0,0.1,0.0,-1
12.421,-15.82,140.46,2.1,0.0,0.1,0.0,-1
12.49,-15.82,140.46,2.1,0.0,0.1,0.0,-1
12.559,-15.82,140.46,2.1,0.0,0.2,0.0,-1
12.605,-15.82,140.46,2.1,0.0,0.2,0.0,-1
12.678,-15.82,140.46,2.1,0.0,0.2,0.0,-1
12.749,-15.82,140.46,2.1,0.0,0.3,0.0,-1
12.797,-15.82,140.46,2.1,0.03,0.3,0.0,-1
12.867,-15.82,140.46,2.1,0.08,0.3,0.0,-1
12.935,-15.82,140.46,2.08,0.12,0.4,0.0,-1
13.005,-15.82,140.46,2.08,0.16,0.4,0.0,-1
13.051,-15.82,140.46,2.06,0.19,0.4,0.0,-1
13.119,-15.82,140.46,2.05,0.23,0.4,0.0,-1
13.191,-15.82,140.46,2.02,0.28,0.5,0.0,-1
13.259,-15.83,140.46,1.97,0.32,0.5,0.0,-1
13.305,-15.83,140.46,1.93,0.35,0.5,0.0,-1
13.377,-15.83,140.46,1.9,0.39,0.6,0.0,-1
13.45,-15.84,140.45,1.8,0.44,0.6,0.0,-1
13.523,-15.86,140.45,1.54,0.47,0.6,0.0,-1
13.569,-15.87,140.44,1.3,0.51,0.7,0.0,-1
13.64,-15.9,140.43,0.82,0.56,0.7,0.0,-1
13.71,-15.94,140.42,0.19,0.0,0.7,0.0,-1
13.757,-15.97,140.4,-0.31,0.0,0.7,0.0,-1
13.825,-16.01,140.39,-1.11,0.0,0.7,0.0,-1
13.895,-16.06,140.37,-1.94,0.0,0.7,0.0,-1
13.942,-16.11,140.35,-2.75,0.0,0.7,0.0,-1
14.012,-16.14,140.34,-3.27,0.0,0.7,0.0,-1
14.081,-16.18,140.33,-4.01,0.0,0.7,0.0,-1
14.155,-16.23,140.32,-4.76,0.0,0.7,0.0,-1
14.204,-16.26,140.31,-5.24,0.0,0.7,0.0,-1
14.278,-16.3,140.3,-5.93,0.0,0.7,0.0,-1
14.349,-16.33,140.29,-6.56,0.0,0.7,0.0,-1
14.397,-16.36,140.28,-6.95,0.02,0.7,0.0,-1
14.47,-16.39,140.27,-7.48,0.07,0.7,0.0,-1
14.515,-16.42,140.26,-7.92,0.11,0.7,0.0,-1
14.585,-16.43,140.26,-8.19,0.14,0.7,0.0,-1
14.656,-16.46,140.25,-8.58,0.18,0.7,0.0,-1
14.703,-16.48,140.25,-8.94,0.23,0.7,0.0,-1
14.772,-16.5,140.24,-9.3,0.27,0.7,0.0,-1
14.845,-16.51,140.24,-9.56,0.3,0.7,0.0,-1
14.914,-16.54,140.24,-9.96,0.35,0.7,0.0,-1
14.984,-16.57,140.23,-10.41,0.39,0.7,0.0,-1
15.055,-16.6,140.22,-10.98,0.42,0.7,0.0,-1
15.104,-16.63,140.22,-11.42,0.46,0.7,0.0,-1
15.176,-16.67,140.21,-12.12,0.0,0.7,0.0,-1
15.248,-16.72,140.2,-12.96,0.0,0.7,0.0,-1
15.297,-16.76,140.2,-13.59,0.0,0.7,0.0,-1
15.367,-16.82,140.19,-14.52,0.0,0.7,0.0,-1
15.413,-16.87,140.18,-15.43,0.0,0.7,0.0,-1
15.482,-16.93,140.18,-16.3,0.0,0.7,0.0,-1
15.552,-16.96,140.18,-16.87,0.0,0.7,0.0,-1
15.625,-17.01,140.17,-17.71,0.0,0.7,0.0,-1
15.697,-17.06,140.17,-18.51,0.0,0.7,0.0,-1
15.746,-17.1,140.17,-19.03,0.0,0.7,0.0,-1
15.818,-17.14,140.17,-19.76,0.0,0.7,0.0,-1
15.886,-17.18,140.17,-20.41,0.0,0.7,0.0,-1
15.934,-17.21,140.17,-20.84,0.0,0.7,0.0,-1
16.006,-17.25,140.17,-21.47,0.0,0.7,0.0,-1
16.078,-17.28,140.17,-22.07,0.0,0.7,0.0,-1
16.126,-17.31,140.17,-22.45,0.0,0.7,0.0,-1
16.2,-17.34,140.17,-23.01,0.0,0.7,0.0,-1
16.271,-17.37,140.17,-23.52,0.0,0.7,0.0,-1
16.318,-17.39,140.17,-23.84,0.0,0.7,0.0,-1
16.365,-17.42,140.17,-24.32,0.0,0.7,0.0,-1
16.464,-17.45,140.17,-24.77,0.0,0.7,0.0,-1
16.512,-17.47,140.17,-25.06,0.0,0.7,0.0,-1
16.584,-17.49,140.17,-25.46,0.02,0.7,0.0,-1
16.657,-17.51,140.18,-25.81,0.05,0.7,0.0,-1
16.705,-17.53,140.18,-26.01,0.1,0.7,0.0,-1
16.776,-17.54,140.18,-26.27,0.14,0.7,0.0,-1
16.848,-17.56,140.18,-26.51,0.17,0.7,0.0,-1
16.896,-17.57,140.18,-26.63,0.21,0.0,0.0,-1
16.968,-17.58,140.18,-26.74,0.26,0.0,0.0,-1
17.04,-17.59,140.19,-26.74,0.29,0.0,0.0,-1
17.088,-17.6,140.2,-26.75,0.33,0.0,0.0,-1
17.136,-17.62,140.21,-26.76,0.38,0.0,0.0,-1
17.231,-17.64,140.22,-26.77,0.42,0.0,0.0,-1
17.28,-17.66,140.22,-26.79,0.45,0.0,0.0,-1
17.353,-17.69,140.24,-26.79,0.0,0.0,0.0,-1
17.402,-17.72,140.25,-26.79,0.0,0.0,0.0,-1
17.473,-17.76,140.27,-26.79,0.0,0.0,0.0,-1
17.545,-17.8,140.3,-26.79,0.0,0.0,0.0,-1
17.615,-17.84,140.31,-26.87,0.0,0.1,0.0,-1
17.664,-17.87,140.33,-26.94,0.0,0.1,0.0,-1
17.738,-17.91,140.35,-27.05,0.0,0.1,0.0,-1
17.808,-17.95,140.36,-27.21,0.0,0.2,0.0,-1
17.856,-17.97,140.37,-27.33,0.0,0.2,0.0,-1
17.928,-18.01,140.38,-27.5,0.0,0.2,0.0,-1
17.999,-18.04,140.4,-27.69,0.0,0.3,0.0,-1
18.049,-18.06,140.4,-27.85,0.0,0.3,0.0,-1
18.121,-18.09,140.41,-28.07,0.0,0.3,0.0,-1
18.169,-18.12,140.42,-28.27,0.03,0.4,0.0,-1
18.239,-18.13,140.43,-28.41,0.07,0.4,0.0,-1
18.313,-18.15,140.43,-28.62,0.12,0.4,0.0,-1
18.361,-18.17,140.44,-28.8,0.15,0.5,0.0,-1
18.432,-18.18,140.44,-28.92,0.19,0.5,0.0,-1
18.506,-18.2,140.44,-29.11,0.24,0.5,0.0,-1
18.579,-18.21,140.45,-29.29,0.27,0.6,0.0,-1
18.627,-18.22,140.45,-29.43,0.32,0.6,0.0,-1
18.697,-18.24,140.45,-29.69,0.36,0.6,0.0,-1
18.744,-18.25,140.46,-29.89,0.39,0.6,0.0,-1
18.817,-18.28,140.46,-30.32,0.43,0.7,0.0,-1
18.89,-18.31,140.47,-30.86,0.48,0.7,0.0,-1
18.94,-18.34,140.47,-31.3,0.51,0.7,0.0,-1
19.015,-18.39,140.48,-32.07,0.0,0.7,0.0,-1
19.089,-18.44,140.49,-33.0,0.0,0.7,0.0,-1
19.137,-18.48,140.5,-33.65,0.0,0.7,0.0,-1
19.211,-18.54,140.51,-34.65,0.0,0.7,0.0,-1
19.283,-18.6,140.53,-35.6,0.0,0.7,0.0,-1
19.331,-18.64,140.54,-36.22,0.0,0.7,0.0,-1
19.404,-18.69,140.55,-37.11,0.0,0.7,0.0,-1
19.451,-18.74,140.57,-37.92,0.0,0.7,0.0,-1
19.524,-18.77,140.58,-38.49,0.0,0.7,0.0,-1
19.596,-18.82,140.59,-39.19,0.03,0.0,0.0,-1
19.644,-18.84,140.6,-39.46,0.06,0.0,0.0,-1
19.719,-18.88,140.62,-39.6,0.11,0.0,0.0,-1
19.767,-18.9,140.65,-39.61,0.15,0.0,0.0,-1
19.838,-18.92,140.66,-39.61,0.18,0.0,0.0,-1
19.888,-18.94,140.68,-39.61,0.23,0.0,0.0,-1
19.961,-18.96,140.69,-39.61,0.26,0.0,0.0,-1
20.036,-18.98,140.71,-39.61,0.31,0.0,0.0,-1
20.111,-19.01,140.73,-39.63,0.35,0.0,0.0,-1
20.16,-19.03,140.75,-39.63,0.38,0.0,0.0,-1
20.233,-19.06,140.77,-39.63,0.43,0.0,0.0,-1
20.281,-19.09,140.8,-39.63,0.46,0.0,0.0,-1
20.353,-19.12,140.83,-39.63,0.5,0.0,0.0,-1
20.425,-19.17,140.86,-39.64,0.55,0.0,0.0,-1
20.499,-19.22,140.91,-39.65,0.58,0.0,0.0,-1
20.547,-19.26,140.94,-39.65,0.63,0.0,0.0,-1
20.621,-19.33,141.0,-39.65,0.0,0.0,0.0,-1
20.669,-19.39,141.05,-39.65,0.0,0.0,0.0,-1
20.717,-19.47,141.11,-39.65,0.0,0.0,0.0,-1
20.816,-19.55,141.18,-39.81,0.0,0.1,0.0,-1
20.866,-19.6,141.22,-39.97,0.0,0.1,0.0,-1
20.941,-19.68,141.27,-40.2,0.0,0.1,0.0,-1
20.991,-19.73,141.31,-40.42,0.0,0.2,0.0,-1
21.041,-19.8,141.36,-40.82,0.0,0.2,0.0,-1
21.136,-19.87,141.41,-41.16,0.0,0.2,0.0,-1
21.186,-19.91,141.44,-41.18,0.0,0.0,0.0,-1
21.259,-19.97,141.49,-41.18,0.0,0.0,0.0,-1
21.307,-20.0,141.52,-41.18,0.0,0.0,0.0,-1
21.379,-20.05,141.57,-41.18,0.0,0.0,0.0,-1
21.425,-20.1,141.61,-41.18,0.0,0.0,0.0,-1
21.522,-20.14,141.65,-41.18,0.0,0.0,0.0,-1
21.569,-20.17,141.67,-41.18,0.0,0.0,0.0,-1
21.616,-20.21,141.71,-41.18,0.0,0.0,0.0,-1
21.689,-20.25,141.74,-41.18,0.0,0.0,0.0,-1
21.76,-20.28,141.77,-41.18,0.0,0.0,0.0,-1
21.833,-20.31,141.8,-41.18,0.0,0.0,0.0,-1
21.905,-20.35,141.83,-41.18,0.0,0.0,0.0,-1
21.953,-20.37,141.85,-41.18,0.0,0.0,0.0,-1
22.025,-20.4,141.87,-41.18,0.0,0.0,0.0,-1
22.073,-20.42,141.89,-41.18,0.0,0.0,0.0,-1
22.148,-20.45,141.92,-41.17,0.0,-0.1,0.0,-1
22.196,-20.48,141.94,-41.09,0.0,-0.1,0.0,-1
22.269,-20.49,141.96,-41.04,0.0,-0.1,0.0,-1
22.34,-20.51,141.98,-40.95,0.0,-0.2,0.0,-1
22.387,-20.53,142.0,-40.82,0.0,-0.2,0.0,-1
22.483,-20.55,142.02,-40.68,0.0,-0.2,0.0,-1
22.53,-20.57,142.03,-40.59,0.0,-0.3,0.0,-1
22.605,-20.58,142.06,-40.41,0.0,-0.3,0.0,-1
