Time, x, y, angle, throttle, steer, brake, gear 
0.0,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.07,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.144,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.191,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.264,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.316,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.392,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.441,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.514,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.562,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.633,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.71,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.759,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.834,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.907,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.956,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.028,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.1,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.147,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.218,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.288,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.336,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.409,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.48,-25.0,139.0,0.0,0.0,0.1,0.0,1
1.528,-25.0,139.0,0.0,0.0,0.1,0.0,1
1.599,-25.0,139.0,0.0,0.0,0.1,0.0,1
1.672,-25.0,139.0,0.0,0.0,0.2,0.0,1
1.744,-25.0,139.0,0.0,0.02,0.2,0.0,1
1.791,-25.0,139.0,0.0,0.06,0.2,0.0,1
1.864,-25.0,139.0,0.0,0.11,0.3,0.0,1
1.912,-25.0,139.0,0.0,0.14,0.3,0.0,1
1.983,-25.0,139.0,0.0,0.18,0.3,0.0,1
2.056,-25.0,139.0,0.0,0.23,0.4,0.0,1
2.104,-25.0,139.0,0.0,0.26,0.4,0.0,1
2.175,-25.0,139.0,0.0,0.3,0.4,0.0,1
2.248,-25.0,139.0,0.0,0.35,0.4,0.0,1
2.296,-25.0,139.0,0.0,0.38,0.5,0.0,1
2.368,-25.0,139.0,0.0,0.43,0.5,0.0,1
2.44,-25.0,139.0,0.0,0.47,0.5,0.0,1
2.51,-25.0,139.0,0.0,0.51,0.6,0.0,1
2.558,-25.0,139.0,0.0,0.54,0.6,0.0,1
2.631,-25.0,139.0,0.0,0.59,0.6,0.0,1
2.679,-25.0,139.0,0.0,0.63,0.7,0.0,1
2.75,-25.0,139.0,0.0,0.66,0.7,0.0,1
2.821,-25.0,139.0,0.0,0.71,0.7,0.0,1
2.893,-24.97,139.01,0.46,0.75,0.7,0.0,1
2.94,-24.93,139.03,1.15,0.78,0.7,0.0,1
3.009,-24.86,139.06,2.48,0.83,0.7,0.0,1
3.081,-24.76,139.1,4.2,0.0,0.7,0.0,1
3.151,-24.66,139.15,6.08,0.0,0.7,0.0,1
3.198,-24.58,139.19,7.43,0.0,0.7,0.0,1
3.272,-24.46,139.24,9.1,0.0,0.0,0.0,1
3.319,-24.33,139.28,9.67,0.0,0.0,0.0,1
3.391,-24.24,139.3,9.69,0.0,0.0,0.0,1
3.464,-24.12,139.32,9.69,0.0,0.0,0.0,1
3.534,-24.01,139.34,9.69,0.0,0.0,0.0,1
3.582,-23.94,139.35,9.69,0.0,0.0,0.0,1
3.655,-23.84,139.37,9.69,0.0,0.0,0.0,1
3.724,-23.74,139.38,9.69,0.0,0.0,0.0,1
3.771,-23.68,139.39,9.69,0.0,0.0,0.0,1
3.843,-23.6,139.41,9.69,0.0,0.0,0.0,1
3.891,-23.51,139.42,9.7,0.0,0.1,0.0,1
3.962,-23.46,139.43,9.81,0.0,0.1,0.0,1
4.035,-23.39,139.45,9.99,0.0,0.1,0.0,1
4.106,-23.32,139.46,10.17,0.0,0.2,0.0,1
4.154,-23.28,139.48,10.36,0.0,0.2,0.0,1
4.224,-23.22,139.49,10.65,0.0,0.2,0.0,1
4.296,-23.16,139.51,10.92,0.0,0.2,0.0,1
4.365,-23.11,139.53,11.25,0.0,0.3,0.0,1
4.413,-23.08,139.54,11.49,0.0,0.3,0.0,1
4.462,-23.04,139.56,11.8,0.04,0.3,0.0,1
4.559,-23.0,139.57,12.06,0.07,0.0,0.0,1
4.607,-22.97,139.58,12.11,0.11,0.0,0.0,1
4.655,-22.94,139.59,12.12,0.16,0.0,0.0,1
4.748,-22.91,139.59,12.11,0.2,0.0,0.0,1
4.797,-22.89,139.6,12.11,0.23,0.0,0.0,1
4.87,-22.86,139.6,12.11,0.28,0.0,0.0,1
4.918,-22.83,139.61,12.1,0.32,0.0,0.0,1
4.99,-22.81,139.61,12.1,0.35,0.0,0.0,1
5.064,-22.77,139.62,12.1,0.0,0.0,0.0,1
5.133,-22.73,139.63,12.09,0.0,0.0,0.0,1
5.181,-22.7,139.64,12.09,0.0,0.0,0.0,1
5.25,-22.65,139.65,12.1,0.01,0.0,0.0,1
5.322,-22.61,139.66,12.09,0.05,0.0,0.0,1
5.391,-22.57,139.67,12.1,0.08,0.0,0.0,1
5.437,-22.55,139.67,12.1,0.12,0.0,0.0,1
5.509,-22.51,139.68,12.09,0.17,0.0,0.0,1
5.58,-22.48,139.68,12.09,0.21,0.0,0.0,1
5.627,-22.46,139.69,12.09,0.24,0.0,0.0,1
5.697,-22.43,139.69,12.08,0.29,0.0,0.0,1
5.768,-22.4,139.7,12.09,0.33,0.0,0.0,1
5.815,-22.38,139.71,12.09,0.36,0.0,0.0,1
5.886,-22.35,139.71,12.1,0.4,0.0,0.0,1
5.958,-22.3,139.72,12.11,0.45,0.0,0.0,1
6.003,-22.25,139.73,12.11,0.49,0.0,0.0,1
6.074,-22.2,139.75,12.11,0.52,0.0,0.0,1
6.143,-22.15,139.75,12.11,0.56,0.0,0.0,1
6.215,-22.08,139.77,12.11,0.61,0.0,0.0,1
6.285,-21.99,139.79,12.11,0.65,0.0,0.0,1
6.354,-21.89,139.81,12.11,0.68,0.0,0.0,1
6.4,-21.82,139.82,12.11,0.0,0.0,0.0,1
6.472,-21.71,139.85,12.11,0.0,0.0,0.0,1
6.541,-21.6,139.87,12.11,0.0,0.0,0.0,1
6.588,-21.53,139.89,12.11,0.0,0.0,0.0,1
6.658,-21.43,139.91,12.11,0.0,0.0,0.0,1
6.729,-21.34,139.93,12.11,0.0,0.0,0.0,1
6.776,-21.25,139.95,12.11,0.0,0.0,0.0,1
6.846,-21.19,139.96,12.11,0.0,0.0,0.0,1
6.919,-21.1,139.98,12.11,0.0,0.0,0.0,1
6.992,-21.03,140.0,12.11,0.0,0.0,0.0,1
7.039,-20.98,140.01,12.11,0.0,0.0,0.0,1
7.108,-20.91,140.02,12.11,0.0,0.0,0.0,1
7.178,-20.84,140.04,12.11,0.0,0.0,0.0,1
7.247,-20.78,140.05,12.11,0.01,0.0,0.0,1
7.313,-20.73,140.06,12.11,0.04,0.0,0.0,1
7.358,-20.7,140.07,12.11,0.08,0.0,0.0,1
7.406,-20.66,140.08,12.11,0.13,0.0,0.0,1
7.5,-20.62,140.08,12.11,0.17,0.0,0.0,1
7.548,-20.59,140.09,12.1,0.2,0.0,0.0,1
7.621,-20.55,140.1,12.1,0.25,0.0,0.0,1
7.691,-20.51,140.11,12.11,0.29,0.0,0.0,1
7.739,-20.49,140.11,12.12,0.32,0.0,0.0,1
7.808,-20.45,140.12,12.14,0.36,0.0,0.0,1
7.88,-20.41,140.13,12.14,0.0,0.0,0.0,1
7.928,-20.35,140.14,12.14,0.0,0.0,0.0,1
8.001,-20.32,140.15,12.14,0.0,0.0,0.0,1
8.073,-20.26,140.16,12.14,0.0,0.0,0.0,1
8.122,-20.22,140.17,12.14,0.0,0.0,0.0,1
8.195,-20.17,140.18,12.14,0.0,0.0,0.0,1
8.267,-20.12,140.19,12.14,0.0,0.0,0.0,1
8.315,-20.09,140.2,12.14,0.0,0.0,0.0,1
8.386,-20.05,140.21,12.13,0.0,-0.1,0.0,1
8.456,-20.01,140.21,12.04,0.0,-0.1,0.0,1
8.526,-19.97,140.22,11.95,0.0,-0.1,0.0,1
8.572,-19.95,140.22,11.89,0.0,-0.1,0.0,1
8.641,-19.91,140.23,11.75,0.0,-0.2,0.0,1
8.688,-19.88,140.23,11.62,0.0,0.0,0.0,1
8.784,-19.85,140.24,11.6,0.03,0.0,0.0,1
8.831,-19.83,140.24,11.6,0.07,0.0,0.0,1
8.904,-19.81,140.24,11.6,0.12,0.0,0.0,1
8.975,-19.79,140.25,11.6,0.16,0.0,0.0,1
9.022,-19.78,140.25,11.6,0.19,0.0,0.0,1
9.092,-19.77,140.25,11.6,0.24,0.0,0.0,1
9.163,-19.75,140.26,11.6,0.28,0.0,0.0,1
9.211,-19.74,140.26,11.61,0.31,0.0,0.0,1
9.282,-19.72,140.26,11.61,0.36,0.0,0.0,1
9.354,-19.7,140.27,11.61,0.4,0.0,0.0,1
9.402,-19.68,140.27,11.62,0.43,0.0,0.0,1
9.474,-19.64,140.28,11.62,0.48,0.0,0.0,1
9.544,-19.6,140.29,11.6,0.0,0.0,0.0,1
9.613,-19.55,140.3,11.6,0.0,0.0,0.0,1
9.659,-19.52,140.3,11.55,0.0,-0.1,0.0,1
9.728,-19.46,140.31,11.42,0.0,-0.1,0.0,1
9.799,-19.41,140.32,11.29,0.0,-0.1,0.0,1
9.872,-19.35,140.33,11.08,0.0,-0.2,0.0,1
9.919,-19.32,140.33,10.93,0.0,-0.2,0.0,1
9.99,-19.27,140.33,10.71,0.0,-0.2,0.0,1
10.038,-19.23,140.33,10.47,0.0,-0.3,0.0,1
10.108,-19.2,140.34,10.28,0.0,-0.3,0.0,1
10.179,-19.16,140.34,10.01,0.0,-0.3,0.0,1
10.25,-19.13,140.34,9.72,0.0,-0.4,0.0,1
10.298,-19.1,140.34,9.51,0.0,-0.4,0.0,1
10.37,-19.07,140.33,9.2,0.0,-0.4,0.0,1
10.444,-19.04,140.33,8.88,0.0,-0.5,0.0,1
10.492,-19.02,140.33,8.65,0.0,-0.5,0.0,1
10.563,-18.99,140.33,8.33,0.0,-0.5,0.0,1
10.609,-18.96,140.32,8.08,0.03,0.0,0.0,1
10.68,-18.94,140.33,8.0,0.06,0.0,0.0,1
10.749,-18.93,140.33,8.0,0.1,0.0,0.0,1
10.819,-18.91,140.33,8.0,0.15,0.0,0.0,1
10.889,-18.9,140.33,8.0,0.19,0.0,0.0,1
10.959,-18.89,140.33,8.0,0.23,0.0,0.0,1
11.007,-18.88,140.33,8.0,0.26,0.0,0.0,1
11.076,-18.87,140.34,8.0,0.31,0.0,0.0,1
11.147,-18.85,140.34,8.0,0.35,0.0,0.0,1
11.193,-18.83,140.34,8.01,0.38,0.0,0.0,1
11.265,-18.82,140.34,8.01,0.42,0.0,0.0,1
11.336,-18.79,140.35,8.02,0.47,0.0,0.0,1
11.383,-18.75,140.35,8.01,0.5,0.0,0.0,1
11.455,-18.73,140.36,8.0,0.54,0.0,0.0,1
11.503,-18.68,140.36,8.0,0.59,0.0,0.0,1
11.598,-18.62,140.37,8.01,0.63,0.0,0.0,1
11.645,-18.57,140.38,8.03,0.66,0.0,0.0,1
11.694,-18.49,140.39,8.03,0.0,0.0,0.0,1
11.79,-18.39,140.4,8.03,0.0,0.0,0.0,1
11.837,-18.33,140.41,8.03,0.0,0.0,0.0,1
11.884,-18.24,140.42,8.03,0.0,0.0,0.0,1
11.981,-18.15,140.44,8.03,0.0,0.0,0.0,1
12.03,-18.1,140.44,8.03,0.0,0.0,0.0,1
12.101,-18.02,140.46,8.03,0.0,0.0,0.0,1
12.149,-17.94,140.47,8.03,0.01,0.0,0.0,1
12.22,-17.9,140.47,8.03,0.04,0.0,0.0,1
12.293,-17.84,140.48,8.04,0.09,0.0,0.0,1
12.364,-17.78,140.49,8.04,0.13,0.0,0.0,1
12.411,-17.75,140.49,8.05,0.16,0.0,0.0,1
12.482,-17.7,140.5,8.05,0.21,0.0,0.0,1
12.552,-17.66,140.51,8.03,0.25,0.0,0.0,1
12.623,-17.62,140.51,8.03,0.28,0.0,0.0,1
12.671,-17.59,140.52,8.02,0.32,0.0,0.0,1
12.743,-17.54,140.52,8.0,0.37,0.0,0.0,1
12.815,-17.49,140.53,7.99,0.4,0.0,0.0,1
12.864,-17.45,140.54,7.97,0.44,0.0,0.0,1
12.936,-17.39,140.55,7.97,0.0,-0.0,0.0,1
13.008,-17.32,140.55,7.9,0.0,-0.1,0.0,1
13.054,-17.27,140.56,7.79,0.0,-0.1,0.0,1
13.121,-17.2,140.56,7.63,0.0,-0.1,0.0,1
13.192,-17.13,140.57,7.45,0.0,-0.2,0.0,1
13.24,-17.09,140.57,7.26,0.0,-0.2,0.0,1
13.312,-17.02,140.57,6.96,0.0,-0.2,0.0,1
13.383,-16.96,140.57,6.67,0.0,-0.3,0.0,1
13.455,-16.91,140.57,6.3,0.0,-0.3,0.0,1
13.502,-16.87,140.57,6.06,0.0,-0.3,0.0,1
13.572,-16.82,140.57,5.72,0.0,-0.4,0.0,1
13.618,-16.78,140.56,5.3,0.0,-0.4,0.0,1
13.69,-16.75,140.56,5.04,0.0,-0.4,0.0,1
13.761,-16.71,140.55,4.66,0.0,-0.4,0.0,1
13.833,-16.67,140.55,4.23,0.0,-0.5,0.0,1
13.903,-16.63,140.54,3.82,0.0,-0.5,0.0,1
13.949,-16.61,140.54,3.57,0.0,-0.5,0.0,1
14.019,-16.58,140.53,3.15,0.0,-0.6,0.0,1
14.089,-16.55,140.52,2.73,0.0,-0.6,0.0,1
14.163,-16.52,140.51,2.32,0.0,-0.6,0.0,1
14.212,-16.5,140.51,2.04,0.0,-0.7,0.0,1
14.284,-16.48,140.5,1.62,0.0,-0.7,0.0,1
14.331,-16.45,140.49,1.22,0.0,-0.7,0.0,1
14.402,-16.44,140.48,0.98,0.0,-0.7,0.0,1
14.472,-16.42,140.48,0.63,0.0,-0.7,0.0,1
14.541,-16.4,140.47,0.3,0.0,-0.7,0.0,1
14.589,-16.39,140.46,0.09,0.0,-0.7,0.0,1
14.659,-16.37,140.46,-0.21,0.0,-0.7,0.0,1
14.731,-16.36,140.45,-0.42,0.0,0.0,0.0,1
14.781,-16.34,140.45,-0.48,0.0,0.0,0.0,1
14.852,-16.33,140.45,-0.48,0.0,0.0,0.0,1
14.924,-16.31,140.45,-0.48,0.0,0.0,0.0,1
14.972,-16.3,140.45,-0.48,0.0,0.0,0.0,1
15.042,-16.29,140.45,-0.48,0.0,0.0,0.0,1
15.114,-16.27,140.45,-0.48,0.0,0.0,0.0,1
15.162,-16.27,140.45,-0.48,0.0,0.0,0.0,1
15.232,-16.25,140.45,-0.48,0.0,0.1,0.0,1
15.304,-16.24,140.45,-0.45,0.0,0.1,0.0,1
15.352,-16.23,140.45,-0.43,0.0,0.1,0.0,1
15.423,-16.23,140.45,-0.41,0.0,0.2,0.0,1
15.496,-16.22,140.45,-0.36,0.0,0.2,0.0,1
15.543,-16.21,140.45,-0.34,0.0,0.0,0.0,1
15.614,-16.2,140.45,-0.34,0.0,0.0,0.0,1
15.688,-16.19,140.45,-0.34,0.0,0.0,0.0,1
15.759,-16.19,140.45,-0.34,0.0,0.0,0.0,1
15.808,-16.18,140.45,-0.34,0.0,0.0,0.6,1
15.882,-16.18,140.45,-0.34,0.0,0.0,1.0,1
15.931,-16.18,140.45,-0.34,0.0,0.0,1.0,1
16.004,-16.18,140.45,-0.34,0.0,0.0,0.0,1
16.049,-16.18,140.45,-0.34,0.0,0.0,0.0,1
16.121,-16.18,140.45,-0.34,0.0,0.0,0.0,1
16.191,-16.18,140.45,-0.34,0.0,0.0,0.0,1
16.238,-16.18,140.45,-0.34,0.0,0.0,0.0,1
16.332,-16.18,140.45,-0.34,0.0,0.0,0.0,1
16.379,-16.18,140.45,-0.34,0.0,0.0,0.0,1
16.449,-16.18,140.45,-0.34,0.0,0.0,0.0,1
16.52,-16.18,140.45,-0.34,0.0,0.0,0.0,1
16.568,-16.18,140.45,-0.34,0.0,0.0,0.0,1
16.64,-16.18,140.45,-0.34,0.0,0.0,0.0,1
16.712,-16.18,140.45,-0.34,0.0,0.0,0.0,1
16.781,-16.18,140.45,-0.34,0.0,0.0,0.0,1
16.829,-16.18,140.45,-0.34,0.0,0.0,0.0,1
16.902,-16.18,140.45,-0.34,0.0,0.0,0.0,1
16.974,-16.18,140.45,-0.34,0.0,0.0,0.0,-1
17.021,-16.18,140.45,-0.34,0.0,0.0,0.0,-1
17.092,-16.18,140.45,-0.34,0.0,0.0,0.0,-1
17.163,-16.18,140.45,-0.34,0.0,0.0,0.0,-1
17.232,-16.18,140.45,-0.34,0.0,0.0,0.0,-1
17.279,-16.18,140.45,-0.34,0.0,0.0,0.0,-1
17.352,-16.18,140.45,-0.34,0.0,0.0,0.0,-1
17.422,-16.18,140.45,-0.34,0.0,0.0,0.0,-1
17.467,-16.18,140.45,-0.34,0.0,0.1,0.0,-1
17.539,-16.18,140.45,-0.34,0.0,0.1,0.0,-1
17.611,-16.18,140.45,-0.34,0.0,0.1,0.0,-1
17.66,-16.18,140.45,-0.34,0.0,0.2,0.0,-1
17.73,-16.18,140.45,-0.34,0.0,0.2,0.0,-1
17.779,-16.18,140.45,-0.34,0.0,0.2,0.0,-1
17.873,-16.18,140.45,-0.34,0.0,0.3,0.0,-1
17.921,-16.18,140.45,-0.34,0.0,0.3,0.0,-1
17.993,-16.18,140.45,-0.34,0.0,0.3,0.0,-1
18.062,-16.18,140.45,-0.34,0.0,0.4,0.0,-1
18.13,-16.19,140.45,-0.34,0.0,0.4,0.0,-1
18.177,-16.19,140.45,-0.35,0.04,0.4,0.0,-1
18.249,-16.19,140.45,-0.37,0.09,0.5,0.0,-1
18.297,-16.19,140.45,-0.37,0.12,0.5,0.0,-1
18.37,-16.19,140.45,-0.38,0.17,0.5,0.0,-1
18.44,-16.19,140.45,-0.39,0.21,0.6,0.0,-1
18.51,-16.19,140.45,-0.39,0.25,0.6,0.0,-1
18.557,-16.19,140.45,-0.4,0.28,0.6,0.0,-1
18.627,-16.19,140.45,-0.42,0.33,0.7,0.0,-1
18.675,-16.2,140.45,-0.5,0.37,0.7,0.0,-1
18.77,-16.21,140.45,-0.66,0.4,0.7,0.0,-1
18.817,-16.22,140.44,-0.84,0.45,0.7,0.0,-1
18.866,-16.24,140.44,-1.21,0.0,0.7,0.0,-1
18.962,-16.26,140.43,-1.7,0.0,0.7,0.0,-1
19.012,-16.29,140.42,-2.07,0.0,0.7,0.0,-1
19.085,-16.32,140.41,-2.62,0.0,0.7,0.0,-1
19.134,-16.34,140.4,-2.98,0.0,0.7,0.0,-1
19.208,-16.37,140.39,-3.51,0.0,0.7,0.0,-1
19.278,-16.4,140.38,-3.94,0.04,0.7,0.0,-1
19.326,-16.41,140.38,-4.21,0.07,0.7,0.0,-1
19.398,-16.43,140.37,-4.58,0.12,0.7,0.0,-1
19.466,-16.45,140.36,-4.9,0.16,0.7,0.0,-1
19.515,-16.47,140.36,-5.11,0.19,0.7,0.0,-1
19.585,-16.48,140.35,-5.39,0.24,0.7,0.0,-1
19.656,-16.5,140.35,-5.68,0.28,0.7,0.0,-1
19.704,-16.52,140.34,-6.02,0.31,0.7,0.0,-1
19.776,-16.53,140.34,-6.28,0.35,0.7,0.0,-1
19.847,-16.56,140.33,-6.66,0.4,0.7,0.0,-1
19.895,-16.59,140.33,-7.14,0.43,0.7,0.0,-1
19.966,-16.61,140.32,-7.5,0.47,0.7,0.0,-1
20.04,-16.65,140.31,-8.18,0.52,0.7,0.0,-1
20.088,-16.68,140.3,-8.69,0.55,0.7,0.0,-1
20.16,-16.73,140.29,-9.59,0.59,0.7,0.0,-1
20.233,-16.79,140.28,-10.64,0.0,0.7,0.0,-1
20.282,-16.84,140.27,-11.42,0.0,0.7,0.0,-1
20.355,-16.92,140.26,-12.65,0.0,0.7,0.0,-1
20.404,-16.99,140.25,-13.86,0.0,0.7,0.0,-1
20.474,-17.06,140.24,-14.98,0.0,0.7,0.0,-1
20.545,-17.11,140.23,-15.71,0.0,0.7,0.0,-1
20.617,-17.17,140.23,-16.78,0.0,0.7,0.0,-1
20.689,-17.24,140.22,-17.79,0.0,0.7,0.0,-1
20.736,-17.28,140.22,-18.43,0.0,0.7,0.0,-1
20.807,-17.33,140.22,-19.35,0.0,0.7,0.0,-1
20.881,-17.39,140.22,-20.26,0.0,0.7,0.0,-1
20.929,-17.42,140.22,-20.82,0.02,0.7,0.0,-1
21.003,-17.47,140.22,-21.58,0.06,0.7,0.0,-1
21.051,-17.5,140.22,-22.04,0.09,0.7,0.0,-1
21.124,-17.54,140.22,-22.67,0.14,0.7,0.0,-1
21.172,-17.57,140.22,-23.23,0.18,0.7,0.0,-1
21.245,-17.6,140.22,-23.62,0.21,0.7,0.0,-1
21.319,-17.63,140.22,-24.2,0.26,0.7,0.0,-1
21.392,-17.67,140.22,-24.78,0.29,0.7,0.0,-1
21.442,-17.69,140.22,-25.23,0.34,0.7,0.0,-1
21.519,-17.74,140.23,-25.96,0.38,0.7,0.0,-1
21.567,-17.77,140.23,-26.45,0.41,0.7,0.0,-1
21.64,-17.82,140.23,-27.24,0.46,0.7,0.0,-1
21.689,-17.85,140.24,-27.81,0.49,0.7,0.0,-1
21.765,-17.91,140.24,-28.8,0.0,0.7,0.0,-1
21.84,-17.98,140.25,-29.93,0.0,0.7,0.0,-1
21.89,-18.03,140.26,-30.71,0.0,0.7,0.0,-1
21.961,-18.1,140.27,-31.84,0.0,0.7,0.0,-1
22.01,-18.14,140.28,-32.58,0.0,0.7,0.0,-1
22.082,-18.21,140.29,-33.64,0.0,0.7,0.0,-1
22.156,-18.27,140.31,-34.68,0.0,0.7,0.0,-1
22.204,-18.31,140.32,-35.32,0.0,0.7,0.0,-1
22.279,-18.37,140.33,-36.29,0.0,0.7,0.0,-1
22.352,-18.42,140.35,-37.17,0.0,0.7,0.0,-1
22.401,-18.45,140.36,-37.75,0.0,0.7,0.0,-1
22.451,-18.5,140.37,-38.57,0.0,0.7,0.0,-1
22.525,-18.53,140.38,-39.1,0.0,0.7,0.0,-1
22.6,-18.58,140.4,-39.85,0.0,0.7,0.0,-1
22.648,-18.62,140.41,-40.53,0.0,0.7,0.0,-1
22.721,-18.64,140.42,-40.81,0.0,0.0,0.0,-1
22.792,-18.68,140.45,-40.96,0.0,0.0,0.0,-1
